Id,Label,Degree,Betweenness,Expression
21429,Ubtf,85,4183.51,134.1734318
15161,Hcfc1,83,3952.15,207.6320501
17869,Myc,80,3914.01,135.7879145
12648,CHD1,73,2759.56,0
17859,MXI1,73,2619.9,0
328365,ZMIZ1,73,1477.23,0
17863,MYB,73,1477.23,0
21406,TCF12,71,2816.88,0
17188,MAZ,71,1824.6,0
20466,SIN3A,69,2031.56,0
18181,NRF1,68,1822.63,0
21374,TBP,65,2440.62,0
217864,RCOR1,59,1935.49,0
23871,Ets1,58,2309.6,88.84056777
13709,ELF1,55,1569.23,0
17258,MEF2A,55,1504.82,0
17187,MAX,54,1343.31,0
14534,KAT2A,45,964,0
328572,EP300,42,2377.53,0
16364,IRF4,41,791.78,0
244059,CHD2,40,1971.93,0
20893,BHLHE40,38,742.5,0
13006,SMC3,34,643.25,0
16478,JUND,32,1142.89,0
22278,USF1,32,195.85,0
13591,Ebf1,29,515.7,183.7340528
16476,JUN,27,474.88,0
16477,Junb,26,911.21,407.3314869
18035,Nfkbia,26,411.34,769.1283678
12142,Prdm1,24,682.11,21.92016142
12524,Cd86,24,357.9,311.3914351
22154,Tubb5,23,480.85,533.8994561
19696,Rel,23,288.83,168.2571347
70579,ZC3H11A,22,828.01,0
15937,Ier3,22,452.11,281.1242233
209027,Pycr1,22,293.44,12.07885803
30951,Cbx8,21,416.55,30.02266703
21877,Tk1,21,277.95,45.76247124
21929,Tnfaip3,21,236.55,271.7703934
229595,Adamtsl4,20,361,29.62705789
246198,Mllt6,20,334.06,46.85820395
12515,Cd69,20,294.83,147.7288738
14784,Grb2,20,211.85,80.21692202
18173,Slc11a1,20,186.5,18.94525979
104394,E2F4,20,100.39,0
14460,GATA1,19,895.05,0
19357,RAD21,19,482.01,0
15894,Icam1,19,270.93,147.8706524
227292,Ctdsp1,19,242.11,43.36974753
23833,Cd52,19,179.64,140.8342959
17886,Myh9,18,275.56,37.60055155
67905,Ppm1m,18,271.86,54.00912493
26401,Map3k1,17,247.47,139.7770864
17355,Aff1,16,255.88,50.43339851
12702,Socs3,16,205.27,141.1441812
21354,Tap1,16,195.03,22.25441474
227929,Cytip,16,149.28,22.65251733
12444,Ccnd2,16,138.07,334.3897248
15273,Hivep2,16,106.67,91.41540753
14824,Grn,15,237.72,167.9145817
14433,Gapdh,15,218.08,422.2722462
72709,C1qtnf6,15,208.12,10.80085194
17873,Gadd45b,15,184.7,350.942883
19206,Ptch1,15,182.48,332.1800576
12721,Coro1a,15,163.4,17.34508469
20442,St3gal1,15,157.43,22.08248963
60533,Cd274,15,105.75,88.30170415
16155,Il10rb,15,99.82,27.86050226
17135,MAFK,15,70.1,0
13018,CTCF,14,925.14,0
21833,Thra,14,237.29,89.66809167
12028,Bax,14,216.44,146.8848574
16825,Ldb1,14,124.66,37.19500999
12043,Bcl2,14,97.63,44.62411079
19188,Psme2,13,106.22,1002.754899
226169,Pprc1,13,105.2,108.2972446
208647,Creb3l2,13,56.01,71.28246453
110954,Rpl10,12,80.22,1135.392416
243910,Nfkbid,12,72.39,15.04289137
19186,Psme1,12,46.13,728.4998177
13650,Rhbdf1,11,152.57,35.45774901
22031,Traf3,11,36.75,87.96725963
65107,Lrp10,10,116.79,36.76510061
18128,Notch1,10,81.66,10.00387088
12505,Cd44,10,29.38,34.12315281
22282,USF2,10,7.43,0
21888,Tle4,9,112.76,207.4719343
20971,Sdc4,9,70.76,589.5659395
17387,Mmp14,9,66.88,50.90681579
52004,Cdk2ap2,9,46.26,79.0456375
330064,Slc5a6,9,40.68,38.69453542
19219,Ptger4,9,35.34,33.94282218
20481,Ski,9,30.63,229.1360972
12531,Cdc25b,8,71.94,20.88505683
73251,Setd7,8,54.4,79.4535756
16978,Lrrfip1,8,52.38,84.83138077
231532,Arhgap24,8,49.15,114.586157
114886,Cygb,8,35.46,115.2084661
193740,Hspa1a,8,26.27,905.8068355
353310,Zfp703,8,25.83,14.68701315
17084,Ly86,8,19.6,88.41887022
12608,Cebpb,7,105.47,43.60529654
15368,Hmox1,7,77.72,112.3618992
192176,Flna,7,69.9,494.8198535
21953,Tnni2,7,64.24,15.08490169
21346,Tagln2,7,50.62,128.133817
216867,Slc16a11,7,43.7,11.61744622
19141,Lgmn,7,42.91,116.5777895
58207,Slc43a3,7,23.92,102.8967312
22352,Vim,7,9.79,1175.404186
16011,Igfbp5,6,33.09,44.30515839
71994,Cnn3,6,32.91,414.6262899
21349,TAL1,6,19.62,0
68744,Zfp740,6,18.64,73.56495903
67468,Mmd,6,18.45,20.46261945
56437,Rrad,6,18.29,51.94640399
17357,Marcksl1,6,15.88,285.5033211
23872,Ets2,6,15.3,69.28273385
17916,Myo1f,6,13.98,12.4366128
55932,Gbp3,6,13.52,103.6878977
93691,Klf7,6,11.13,178.4402691
16562,Kif1c,6,8.83,28.29576765
231130,Tnip2,6,8.02,75.43796104
18718,Pip4k2a,6,7.57,54.4435427
80285,Parp9,6,6.82,53.02017
19395,Rasgrp2,5,50,101.0335951
228775,Trib3,5,42.85,10.91190575
263406,Plekhg3,5,23.37,23.4415647
12502,Cd3g,5,19.02,20.73478667
240913,Adamts4,5,14.3,46.0173757
231642,Alkbh2,5,10.13,36.51025657
223255,Stk24,5,9.47,105.7134105
53331,Stx7,5,9.29,345.439417
20397,Sgpl1,5,7.99,291.1415927
192656,Ripk2,5,7.64,104.5578086
66496,Ppdpf,5,6.71,92.70935205
56458,Foxo1,5,4.37,296.4646151
207212,Arhgef17,4,26.36,45.21106998
16154,Il10ra,4,19.17,13.97353329
54199,Ccrl2,4,18.72,283.2577866
11555,Adrb2,4,18.13,21.33569885
12266,C3,4,15.73,504.3560534
52588,Tspan14,4,15.42,68.00694226
64652,Nisch,4,13.19,258.2911606
74493,Tnks2,4,13.16,537.0505213
66471,Anp32e,4,12.77,196.9081617
20667,Sox12,4,10.63,14.60472118
71398,5430427O19Rik,4,8.93,18.76607623
15900,Irf8,4,8.56,36.31213175
236539,Phgdh,4,5.79,57.43701402
68867,Rnf122,4,5.77,28.9210507
11852,Rhob,4,5.39,101.2456951
12517,Cd72,4,5.24,57.90220335
17970,Ncf2,4,5.08,19.5764713
320685,Dctd,4,4.84,114.3403201
112405,Egln1,4,4.04,73.47206782
235041,Kank2,4,3.73,42.48564126
11513,Adcy7,4,3.35,225.3204633
14390,GABPA,4,3.09,0
328417,Parp4,4,1.26,27.54252675
13803,Enc1,3,29.3,122.2670373
72017,Cyb5r1,3,20.15,86.39967418
50887,Hmgn5,3,11.42,210.9486656
51792,Ppp2r1a,3,8.22,233.7387416
66824,Pycard,3,7.81,71.35582876
56356,Gltp,3,6.64,85.06381272
52377,Rcn3,3,5.88,172.1585885
16779,Lamb2,3,5.8,357.7498881
65086,Lpar3,3,5.6,44.8460604
15064,Mr1,3,4.77,45.08769406
15528,Hspe1,3,4.48,1891.952676
14164,Fgf1,3,3.9,22.51746733
69179,Tmem110,3,3.48,46.96731079
21804,Tgfb1i1,3,3.04,31.13025326
210992,Lpcat1,3,2.97,43.40690254
17127,Smad3,3,2.92,53.09104635
15251,Hif1a,3,2.59,311.0144688
18081,Ninj1,3,2.54,77.86198772
20286,Zc3h7b,3,2.5,31.96668522
53610,Nono,3,2.13,228.2823366
227753,Gsn,3,1.96,3083.1386
170743,Tlr7,3,1.94,58.92865798
19264,Ptprc,3,1.79,196.0195946
76773,Wdyhv1,3,1.79,177.8053255
209497,Tmem164,3,1.72,47.53550916
74166,Tmem38a,3,1.64,44.41860886
13614,Edn1,3,1.23,11.92427479
59028,Rcl1,3,1.04,82.91031759
98878,Ehd4,3,0.97,113.4758799
74570,ZKSCAN1,3,0.39,0
12826,Col4a1,2,10.77,361.5116408
16010,Igfbp4,2,10.66,368.5067872
18028,Nfib,2,6.76,282.6991338
71586,Ifih1,2,5.69,190.0901433
70750,Kdsr,2,4.96,90.57881879
22003,Tpm1,2,4.58,493.0796341
18109,Mycn,2,3.7,76.07322651
22271,Upp1,2,3.7,183.9177723
58240,Hs1bp3,2,3.44,11.84803321
12846,Comt,2,3.32,8.866065444
18793,Plaur,2,2.94,41.53215219
59049,Slc22a17,2,2.94,55.57459792
75706,Krt24,2,2.66,8.865462046
12368,Casp6,2,2.14,117.0472367
66102,Cxcl16,2,1.68,304.7473163
231050,Galnt11,2,1.65,114.0019366
232413,Clec12a,2,1.64,96.33197053
80898,Erap1,2,1.63,219.1262246
53902,Rcan3,2,1.58,111.4895287
18208,Ntn1,2,1.52,79.91663918
12267,C3ar1,2,1.44,148.3277451
23971,Papss1,2,1.23,135.1048118
66253,Aig1,2,1.02,149.8373431
20430,Cyfip1,2,1.02,172.9617975
13143,Dapk2,2,0.97,108.5895317
20128,Trim30a,2,0.97,49.43599807
12273,C5ar1,2,0.82,39.21010199
269356,Slc4a11,2,0.82,16.34950602
217333,Trim47,2,0.78,27.65744679
68833,Pdcl3,2,0.7,241.6480478
209195,Clic6,2,0.01,39.0561722
66192,Lage3,2,0.01,117.6126346
381802,Tsen2,2,0.01,69.05228769
69274,Ctdspl,2,0,97.50344238
13178,Dck,2,0,191.282213
66071,Ethe1,2,0,37.93459429
75758,9130401M01Rik,1,0,153.0117209
66834,Acot13,1,0,455.1982161
380660,Acss3,1,0,27.23357893
11576,Afp,1,0,337.7306546
142688,Asb13,1,0,23.30514985
12259,C1qa,1,0,33.79511689
545428,Ccdc141,1,0,144.3456518
12475,Cd14,1,0,193.2962428
98388,Chst10,1,0,18.46459279
12842,Col1a1,1,0,133.7670172
26427,Creb3l1,1,0,30.27134974
16007,Cyr61,1,0,374.9626008
28109,D10Wsu102e,1,0,700.3729991
330662,Dock1,1,0,142.8288088
16456,F11r,1,0,156.5396887
14183,Fgfr2,1,0,73.86423613
240121,Fsd1,1,0,53.63746319
14456,Gas6,1,0,140.9020202
622976,Gm6377,1,0,177.3716306
14778,Gpx3,1,0,191.4869728
14869,Gstp2,1,0,19.78032728
14991,H2-M3,1,0,85.79706092
54486,Hpgds,1,0,201.6414652
16001,Igf1r,1,0,267.2762071
29817,Igfbp7,1,0,2102.103268
16151,Ikbkg,1,0,49.79973816
16181,Il1rn,1,0,66.11154488
57814,Kcne4,1,0,89.80221579
71393,Kctd6,1,0,77.86745319
16598,Klf2,1,0,517.4789489
18826,Lcp1,1,0,111.5505924
83557,Lin28a,1,0,35.43519169
16897,Llgl1,1,0,137.2180388
233328,Lrrk1,1,0,56.82724239
17217,Mcm4,1,0,317.8629314
17685,Msh2,1,0,211.2255959
218203,Mylip,1,0,61.81800863
226101,Myof,1,0,63.56858705
234593,Ndrg4,1,0,284.5588586
225631,Onecut2,1,0,35.49778354
66425,Pcp4l1,1,0,151.0829169
228026,Pdk1,1,0,137.5310274
107272,Psat1,1,0,201.6573648
110095,Pygl,1,0,110.5047358
51801,Ramp1,1,0,94.3602119
229877,Rap1gds1,1,0,78.98608877
237422,Ric8b,1,0,102.0300911
70484,Slc35d2,1,0,58.67216543
20568,Slpi,1,0,126.3574082
24088,Tlr2,1,0,51.75374124
319939,Tns3,1,0,67.64145692
22670,Trim26,1,0,162.7097212
636931,Trim71,1,0,279.1128996
70747,Tspan2,1,0,35.07308984
22793,Zyx,1,0,99.15053826
