"Id","Label","Degree","Betweenness","Expression"
"ENSMUSP00000032998","Rps3",65,5136.21,0
"ENSMUSP00000080854","Rpl5",64,9972.15,0
"ENSMUSP00000071616","Rpl7",64,1782.6,0
"ENSMUSP00000099595","Rpl11",63,6621.15,0
"ENSMUSP00000003521","Rps11",62,1421.7,0
"ENSMUSP00000054490","Rps23",62,668.27,0
"ENSMUSP00000004554","Rps5",62,496.29,0
"ENSMUSP00000034966","Rpl4",61,3032.26,0
"ENSMUSP00000103940","Rps16",61,1438.41,0
"ENSMUSP00000025511","Rps14",61,424.28,0
"ENSMUSP00000109399","Rpl9",60,2660.88,0
"ENSMUSP00000099541","Rpl23a",60,610.43,0
"ENSMUSP00000029722","Rps3a1",58,3205.37,0
"ENSMUSP00000099757","Rps8",58,2102.73,0
"ENSMUSP00000080354","Rpl3",57,6047.25,0
"ENSMUSP00000104067","Rps19",57,389.33,0
"ENSMUSP00000046101","Eef2",56,23886.07,0
"ENSMUSP00000031617","Rpl6",56,2421.31,0
"ENSMUSP00000131489","Rpl14",56,2421.31,0
"ENSMUSP00000115722","Rpl13a",56,2363.86,0
"ENSMUSP00000092502","Rps2",56,267.43,0
"ENSMUSP00000125806","Rpl10-ps3",56,255.71,0
"ENSMUSP00000033683","Rps4x",56,135.11,0
"ENSMUSP00000006496","Rps9",55,3525.14,0
"ENSMUSP00000004072","Rpl8",55,2684.29,0
"ENSMUSP00000073175","Rpl26",55,1884.92,0
"ENSMUSP00000008812","Rps18",55,1334.42,0
"ENSMUSP00000020640","Rack1",54,24942.13,0
"ENSMUSP00000017548","Rpl19",54,690.44,0
"ENSMUSP00000035105","Rpsa",54,272.73,0
"ENSMUSP00000117461","Rpl12",54,236.31,0
"ENSMUSP00000058368","Rpl18a",53,1580.25,0
"ENSMUSP00000125977","Rps24",53,386.37,0
"ENSMUSP00000069004","Rps15",53,364.44,0
"ENSMUSP00000079628","Rps17",53,199.16,0
"ENSMUSP00000081474","Rplp2",52,449.58,0
"ENSMUSP00000008036","Rplp1",52,449.58,0
"ENSMUSP00000123410","Rpl27a",51,236.63,0
"ENSMUSP00000126294","Rps13",51,22.93,0
"ENSMUSP00000099962","Rpl7a",50,25.34,0
"ENSMUSP00000030087","Wdr31",50,23.93,0
"ENSMUSP00000073880","Rps7",50,19.99,0
"ENSMUSP00000034827","Imp3",49,29101.83,0
"ENSMUSP00000099843","Gm2000",49,1403.8,0
"ENSMUSP00000000756","Rpl13",49,333.88,0
"ENSMUSP00000132735","Hnrnpd",48,29241.24,0
"ENSMUSP00000058919","Rpl37a",47,13.39,0
"ENSMUSP00000080523","Rpl32",46,413.99,0
"ENSMUSP00000076447","Rps26-ps1",46,69.3,0
"ENSMUSP00000079180","Rps25",46,56.37,0
"ENSMUSP00000079380","Rac1",45,53895.42,0
"ENSMUSP00000053033","Mrps7",45,1378.96,0
"ENSMUSP00000058432","Rps21",44,41.07,0
"ENSMUSP00000030348","Magoh",41,14971.02,0
"ENSMUSP00000038352","Rps29",40,287.79,0
"ENSMUSP00000110013","Rps28",40,9.37,0
"ENSMUSP00000119065","Srsf6",39,4305.64,0
"ENSMUSP00000004990","Mapk14",38,46833.99,0
"ENSMUSP00000002551","Snrpd1",38,8568.53,0
"ENSMUSP00000107237","Hnrnpc",38,2607.57,0
"ENSMUSP00000031513","Srsf9",38,2579.02,0
"ENSMUSP00000028852","Mrps5",38,1269.11,0
"ENSMUSP00000002844","Mrpl2",37,5569.43,0
"ENSMUSP00000036725","Mrps2",36,1745.51,0
"ENSMUSP00000032597","Rpl28",35,230.86,0
"ENSMUSP00000128400","Snrpe",34,3750.01,0
"ENSMUSP00000026125","Alyref",33,10635.81,0
"ENSMUSP00000099488","Snrpb",33,2828.09,0
"ENSMUSP00000056855","Mrps9",33,35.13,0
"ENSMUSP00000099487","Nop56",32,3864.7,0
"ENSMUSP00000109523","Gspt2",32,2788.97,0
"ENSMUSP00000020608","Ppp2ca",31,38674.27,0
"ENSMUSP00000038135","Dhx9",31,1989.62,0
"ENSMUSP00000110886","Rpl39",31,166.04,0
"ENSMUSP00000007959","Rhoa",30,24576.77,0
"ENSMUSP00000042457","Eef1a1",30,1020.37,0
"ENSMUSP00000024739","Hsp90ab1",29,46034.4,0
"ENSMUSP00000051619","Mapk3",29,33254.8,0
"ENSMUSP00000084252","Polr1c",29,22607.79,0
"ENSMUSP00000022380","Psmc6",29,11334.96,0
"ENSMUSP00000045073","Sf3b3",29,3310.37,0
"ENSMUSP00000031167","Polr2b",28,16862.04,0
"ENSMUSP00000028278","Psmd14",28,13600.51,0
"ENSMUSP00000027626","Nifk",28,7767.46,0
"ENSMUSP00000023829","Cdkn1a",27,46155.58,0
"ENSMUSP00000117971","Mrpl17",26,334.77,0
"ENSMUSP00000097547","Fyn",24,40735.68,0
"ENSMUSP00000030642","Psmb2",24,8497.3,0
"ENSMUSP00000018449","Prpf8",24,4457.77,0
"ENSMUSP00000007130","Ctnnb1",23,26920.82,0
"ENSMUSP00000019911","Hdac2",23,22277.82,0
"ENSMUSP00000015800","Hspa8",23,21022.71,0
"ENSMUSP00000003527","Supt5",23,8070.15,0
"ENSMUSP00000059192","Mcm3",23,6616.43,0
"ENSMUSP00000033008","Psma1",23,4581.68,0
"ENSMUSP00000127034","Eif4a1",23,1191.67,0
"ENSMUSP00000021090","Grb2",22,33475.07,0
"ENSMUSP00000022701","Rb1",22,15375.6,0
"ENSMUSP00000034848","Psma4",22,3923.85,0
"ENSMUSP00000037613","Fbl",22,3193.18,0
"ENSMUSP00000002529","Prpf6",22,1750.31,0
"ENSMUSP00000044645","Smc1a",21,13649.61,0
"ENSMUSP00000007708","Ppp2r1a",21,13323.17,0
"ENSMUSP00000044548","Rbm8a",21,4827.73,0
"ENSMUSP00000061923","Mcm2",21,4127.54,0
"ENSMUSP00000014913","Psmb1",21,3322.11,0
"ENSMUSP00000107576","Mapk8",20,28782.35,0
"ENSMUSP00000098897","Mad2l1",20,18790.33,0
"ENSMUSP00000023217","Bop1",20,786.56,0
"ENSMUSP00000002198","Sf3a1",20,138.62,0
"ENSMUSP00000120152","Stat3",19,24362.87,0
"ENSMUSP00000030940","Gnb1",19,15131.33,0
"ENSMUSP00000039269","Hnrnpk",19,15121.17,0
"ENSMUSP00000047119","Gnl3",19,10329.04,0
"ENSMUSP00000129767","Psma2",19,7434.2,0
"ENSMUSP00000091469","Cdc6",19,6937,0
"ENSMUSP00000033776","Dkc1",19,5123.91,0
"ENSMUSP00000000505","Mcm7",19,3487.91,0
"ENSMUSP00000034369","Psmb10",19,2718.8,0
"ENSMUSP00000023353","Mcm4",19,1598.94,0
"ENSMUSP00000081572","Prpf4",19,1560.21,0
"ENSMUSP00000021405","Polr2h",19,1522.45,0
"ENSMUSP00000004786","Polr2e",19,1485.03,0
"ENSMUSP00000048377","Cirh1a",19,867.32,0
"ENSMUSP00000044305","Cdc40",19,800.33,0
"ENSMUSP00000043566","Polr2f",19,790.23,0
"ENSMUSP00000117045","Srsf3",19,496.66,0
"ENSMUSP00000075709","Sf3b4",19,58.74,0
"ENSMUSP00000022296","Ube2e1",18,16421.03,0
"ENSMUSP00000006911","Cdk4",18,13844.21,0
"ENSMUSP00000003310","Ranbp2",18,10633.95,0
"ENSMUSP00000010241","Nxf1",18,3405.23,0
"ENSMUSP00000075573","Pum3",18,1299.88,0
"ENSMUSP00000020203","Snrpf",18,626.27,0
"ENSMUSP00000038263","Noc4l",18,598.86,0
"ENSMUSP00000039853","Rrp12",18,267.47,0
"ENSMUSP00000078589","Ybx1",18,199.24,0
"ENSMUSP00000014684","U2af1",18,116.98,0
"ENSMUSP00000005606","Prkaca",17,10123.46,0
"ENSMUSP00000029270","Ccna2",17,7935.79,0
"ENSMUSP00000032891","Smg1",17,4625.63,0
"ENSMUSP00000084586","Hspa1a",17,4068.34,0
"ENSMUSP00000025106","Polr2d",17,3345.9,0
"ENSMUSP00000048204","Utp15",17,1644.63,0
"ENSMUSP00000051968","Polr2k",17,1025.99,0
"ENSMUSP00000067013","Rhob",17,606.89,0
"ENSMUSP00000002303","Rhoc",17,606.89,0
"ENSMUSP00000024885","Cebpz",17,373.17,0
"ENSMUSP00000018143","Ddx27",17,281.42,0
"ENSMUSP00000043662","Sf3b6",17,39.65,0
"ENSMUSP00000022971","Myc",16,28790.36,0
"ENSMUSP00000122831","Cenpa",16,7943.57,0
"ENSMUSP00000093980","Polr2g",16,3561.56,0
"ENSMUSP00000033609","Cstf2",16,2720.87,0
"ENSMUSP00000025955","Eif3a",16,538.02,0
"ENSMUSP00000054084","Heatr1",16,433.32,0
"ENSMUSP00000021574","Gtpbp4",16,412.38,0
"ENSMUSP00000060613","Wdr3",16,355.08,0
"ENSMUSP00000027601","Mcm6",16,229.33,0
"ENSMUSP00000037631","Mrps6",16,2.2,0
"ENSMUSP00000099407","Kat2a",15,15836.14,0
"ENSMUSP00000099805","Orc1",15,2388.86,0
"ENSMUSP00000000028","Cdc45",15,1349.74,0
"ENSMUSP00000026322","Polr3a",15,1033.76,0
"ENSMUSP00000043204","Polr2l",15,415.94,0
"ENSMUSP00000052465","Wdr36",15,176.78,0
"ENSMUSP00000023117","Phf5a",15,36.35,0
"ENSMUSP00000055619","Mrps16",15,1.83,0
"ENSMUSP00000033769","Irak1",14,13578.75,0
"ENSMUSP00000023467","Pak2",14,9562.31,0
"ENSMUSP00000037712","Lpar3",14,5911.51,0
"ENSMUSP00000098895","Taf1",14,5363.13,0
"ENSMUSP00000034392","Nip7",14,1094.82,0
"ENSMUSP00000029082","Psma7",14,481.53,0
"ENSMUSP00000066842","Mcm8",14,163.49,0
"ENSMUSP00000113431","Rsl1d1",14,64.43,0
"ENSMUSP00000048153","Rbmxl1",14,47.99,0
"ENSMUSP00000072008","Pdcd11",14,39.57,0
"ENSMUSP00000025393","Smad4",13,10919.65,0
"ENSMUSP00000022030","Ccnh",13,10527.93,0
"ENSMUSP00000005815","Kit",13,9152.37,0
"ENSMUSP00000009699","Cdk9",13,7762.22,0
"ENSMUSP00000013931","Ehmt2",13,7694.59,0
"ENSMUSP00000040741","Shfm1",13,5962.1,0
"ENSMUSP00000018470","Ywhab",13,5794.23,0
"ENSMUSP00000032399","Kras",13,5112.88,0
"ENSMUSP00000031640","Cdk8",13,3707.42,0
"ENSMUSP00000033720","Rbbp7",13,3205.61,0
"ENSMUSP00000074259","Gnai1",13,3102.02,0
"ENSMUSP00000057543","Gnai2",13,3102.02,0
"ENSMUSP00000000001","Gnai3",13,3102.02,0
"ENSMUSP00000021359","Pole2",13,1312.27,0
"ENSMUSP00000127774","Eif4b",13,904.08,0
"ENSMUSP00000058355","Polr1d",13,258.87,0
"ENSMUSP00000043315","Wdr74",13,223.57,0
"ENSMUSP00000024956","Rhoq",13,166.49,0
"ENSMUSP00000120911","Tbl3",13,74.73,0
"ENSMUSP00000023113","Polr3h",13,59.27,0
"ENSMUSP00000022909","Dcaf13",13,19,0
"ENSMUSP00000101616","Snrnp40",13,11.05,0
"ENSMUSP00000052648","Ar",12,9166.57,0
"ENSMUSP00000021674","Fos",12,8474.17,0
"ENSMUSP00000032168","Sec61a1",12,6536.87,0
"ENSMUSP00000047678","Eif4g1",12,4377.41,0
"ENSMUSP00000029013","Rae1",12,4195.73,0
"ENSMUSP00000068148","Cpsf3",12,2441.98,0
"ENSMUSP00000020904","Rock2",12,2172.48,0
"ENSMUSP00000028599","Cstf3",12,1697.89,0
"ENSMUSP00000088365","Ssb",12,1411.66,0
"ENSMUSP00000035930","Nol10",12,1161.68,0
"ENSMUSP00000091487","Supt4a",12,441.56,0
"ENSMUSP00000021048","Ftsj3",12,115.11,0
"ENSMUSP00000025963","Noc3l",12,83.51,0
"ENSMUSP00000022808","Pabpn1",12,77.84,0
"ENSMUSP00000099436","Psmb3",12,68.32,0
"ENSMUSP00000004379","Emg1",12,57.02,0
"ENSMUSP00000101858","Fus",12,29.49,0
"ENSMUSP00000005406","App",11,21808.61,0
"ENSMUSP00000017920","Crk",11,19939.07,0
"ENSMUSP00000087457","Itgb1",11,17489.55,0
"ENSMUSP00000031540","Oasl1",11,14797.4,0
"ENSMUSP00000119715","Rps6kb1",11,9245.1,0
"ENSMUSP00000085549","Tbl1x",11,7018.71,0
"ENSMUSP00000109585","Wdr5",11,5055.97,0
"ENSMUSP00000069114","Ackr3",11,4737.42,0
"ENSMUSP00000120014","Nhp2",11,1654.24,0
"ENSMUSP00000022927","Rad21",11,1258.09,0
"ENSMUSP00000025930","Smc3",11,867.7,0
"ENSMUSP00000117616","Tpr",11,498.8,0
"ENSMUSP00000033173","Polr3e",11,238.35,0
"ENSMUSP00000134735","Psme1",11,140.74,0
"ENSMUSP00000090059","Srsf2",11,102.75,0
"ENSMUSP00000000793","Polr3d",11,45.06,0
"ENSMUSP00000013807","Pten",10,9982.93,0
"ENSMUSP00000099475","Cltc",10,5978.84,0
"ENSMUSP00000007799","Cav1",10,5906.47,0
"ENSMUSP00000079905","Arf1",10,5748.86,0
"ENSMUSP00000023036","Rbx1",10,5344.65,0
"ENSMUSP00000091882","Cdc25a",10,4336.7,0
"ENSMUSP00000018274","Csnk1d",10,4177.47,0
"ENSMUSP00000044361","Smarca5",10,3430.91,0
"ENSMUSP00000094778","Tuba1a",10,2457.8,0
"ENSMUSP00000067681","Sec61b",10,1593.18,0
"ENSMUSP00000069549","Rock1",10,1561.62,0
"ENSMUSP00000005164","Prkacb",10,1261.5,0
"ENSMUSP00000042364","Myl12b",10,1083.6,0
"ENSMUSP00000085913","Myl9",10,1083.6,0
"ENSMUSP00000034204","Nudt21",10,924.84,0
"ENSMUSP00000031221","Cdc7",10,621.22,0
"ENSMUSP00000071794","Cpsf1",10,488.44,0
"ENSMUSP00000068530","Nup98",10,399.63,0
"ENSMUSP00000025170","Wdr46",10,0.42,0
"ENSMUSP00000030164","Vcp",9,8476.61,0
"ENSMUSP00000033075","Stx4a",9,6666.84,0
"ENSMUSP00000013949","Birc3",9,5173.55,0
"ENSMUSP00000026122","P4hb",9,5048.76,0
"ENSMUSP00000038121","Socs1",9,4526.88,0
"ENSMUSP00000055308","Foxo1",9,4500.75,0
"ENSMUSP00000016569","Pds5b",9,4207.04,0
"ENSMUSP00000113388","Atm",9,4078.96,0
"ENSMUSP00000035092","Myd88",9,3207.73,0
"ENSMUSP00000036288","Cct2",9,2919.84,0
"ENSMUSP00000001566","Tubb5",9,2282.67,0
"ENSMUSP00000009003","Rala",9,1150.29,0
"ENSMUSP00000025729","Tnks2",9,758.46,0
"ENSMUSP00000006760","Cdt1",9,564.23,0
"ENSMUSP00000031726","Gnb2",9,546.87,0
"ENSMUSP00000034411","Med17",9,370.73,0
"ENSMUSP00000019067","Med11",9,370.73,0
"ENSMUSP00000012627","Rpa3",9,164.65,0
"ENSMUSP00000069243","Cpsf4",9,81.59,0
"ENSMUSP00000038958","Cpsf7",9,55.99,0
"ENSMUSP00000059498","Rhoj",9,6.87,0
"ENSMUSP00000100771","Sf3b5",9,0.08,0
"ENSMUSP00000028098","Orc4",9,0,0
"ENSMUSP00000028225","Psmd5",9,0,0
"ENSMUSP00000027050","Cops5",8,13484.2,0
"ENSMUSP00000133564","Dnm2",8,9080.2,0
"ENSMUSP00000005077","Hspb1",8,7825.03,0
"ENSMUSP00000045841","Eprs",8,7086,0
"ENSMUSP00000028981","Mapre1",8,6449.42,0
"ENSMUSP00000068559","Xrcc6",8,6189.28,0
"ENSMUSP00000024954","Epas1",8,5248.44,0
"ENSMUSP00000024736","Sgol1",8,5048.26,0
"ENSMUSP00000010520","Nedd8",8,4718.46,0
"ENSMUSP00000103245","Klf4",8,4162.28,0
"ENSMUSP00000078682","Ctbp1",8,4155.75,0
"ENSMUSP00000034405","Mre11a",8,3866.39,0
"ENSMUSP00000083652","Rfc5",8,2959.25,0
"ENSMUSP00000089728","Usp14",8,2877.35,0
"ENSMUSP00000031695","Wasl",8,2763.33,0
"ENSMUSP00000004202","Dnmt1",8,2500.16,0
"ENSMUSP00000029053","Ptpn1",8,2123.7,0
"ENSMUSP00000066679","Chek2",8,1934.55,0
"ENSMUSP00000069257","Ppp1r12a",8,1724.94,0
"ENSMUSP00000088174","Rap1a",8,1173.52,0
"ENSMUSP00000097812","Ralgds",8,1058.03,0
"ENSMUSP00000042283","Supt16",8,947.25,0
"ENSMUSP00000021001","Rab10",8,915.18,0
"ENSMUSP00000044178","Lsm3",8,840.42,0
"ENSMUSP00000043190","Gna11",8,814.9,0
"ENSMUSP00000126565","Lsm5",8,581.23,0
"ENSMUSP00000001147","Col6a1",8,569.25,0
"ENSMUSP00000063250","Stag2",8,331.83,0
"ENSMUSP00000116205","Stag1",8,331.83,0
"ENSMUSP00000022705","Med4",8,107.82,0
"ENSMUSP00000003049","Med25",8,107.82,0
"ENSMUSP00000109164","Fip1l1",8,102.86,0
"ENSMUSP00000021085","Nup85",8,78.04,0
"ENSMUSP00000050076","Adrm1",8,0,0
"ENSMUSP00000021413","Nfkbia",7,7560.77,0
"ENSMUSP00000039500","Mis12",7,6081,0
"ENSMUSP00000029476","Sec22b",7,5611.89,0
"ENSMUSP00000023352","Prkdc",7,5213.55,0
"ENSMUSP00000029142","Eif6",7,4572.05,0
"ENSMUSP00000073974","Axin1",7,4424.34,0
