"ENTREZID","ENSEMBL","SYMBOL"
"54610","ENSMUSG00000003134","Tbc1d8"
"387219","ENSMUSG00000065468","Mir26b"
"22145","ENSMUSG00000026202","Tuba4a"
"98733","ENSMUSG00000026211","Obsl1"
"15504","ENSMUSG00000081984","Dnajb3"
"75995","ENSMUSG00000097251","5033417F24Rik"
"227394","ENSMUSG00000040693","Slco4c1"
"212980","ENSMUSG00000026435","Slc45a3"
"66241","ENSMUSG00000026411","Tmem9"
"102465177","ENSMUSG00000098379","Mir6347"
"56752","ENSMUSG00000026687","Aldh9a1"
"102466998","ENSMUSG00000099119","Mir6546"
"56009","ENSMUSG00000060244","Alyref2"
"73363","ENSMUSG00000044854","1700056E22Rik"
"100125339","ENSMUSG00000097845","A230020J21Rik"
"226844","ENSMUSG00000066595","Flvcr1"
"100038712","ENSMUSG00000097316","Gm10516"
"14373","ENSMUSG00000009633","G0s2"
"12490","ENSMUSG00000016494","Cd34"
"320273","ENSMUSG00000097378","B230208H11Rik"
"100040851","ENSMUSG00000039098","Gm9767"
"102632938","ENSMUSG00000090087","Gm15939"
"94214","ENSMUSG00000058297","Spock2"
"102639115","ENSMUSG00000085468","Gm15343"
"19152","ENSMUSG00000057729","Prtn3"
"114229","ENSMUSG00000035773","Kiss1r"
"12798","ENSMUSG00000004665","Cnn2"
"12905","ENSMUSG00000045867","Cradd"
"102633245","ENSMUSG00000084865","Gm15723"
"71750","ENSMUSG00000025404","R3hdm2"
"17937","ENSMUSG00000025402","Nab2"
"23943","ENSMUSG00000025366","Esyt1"
"12512","ENSMUSG00000025351","Cd63"
"623734","ENSMUSG00000092048","Vmn2r85"
"114679","ENSMUSG00000075702","Selenom"
"103710","ENSMUSG00000048807","Slc35e4"
"192950","ENSMUSG00000041073","Nacad"
"15122","ENSMUSG00000069919","Hba-a1"
"103534","ENSMUSG00000036620","Mgat4b"
"27274","ENSMUSG00000020335","Zfp354b"
"16362","ENSMUSG00000018899","Irf1"
"50724","ENSMUSG00000020519","Sap30l"
"118454","ENSMUSG00000043448","Gjc2"
"192976","ENSMUSG00000046417","Lrrc75a"
"12029","ENSMUSG00000000317","Bcl6b"
"66102","ENSMUSG00000018920","Cxcl16"
"216871","ENSMUSG00000046811","Gltpd2"
"387208","ENSMUSG00000065590","Mir212"
"216964","ENSMUSG00000044328","Trp53i13"
"387188","ENSMUSG00000065395","Mir193a"
"216991","ENSMUSG00000020709","Adap2"
"12643","ENSMUSG00000039084","Chad"
"217124","ENSMUSG00000038976","Ppp1r9b"
"15413","ENSMUSG00000038700","Hoxb5"
"387170","ENSMUSG00000065515","Mir152"
"72324","ENSMUSG00000017417","Plxdc1"
"15485","ENSMUSG00000019301","Hsd17b1"
"217198","ENSMUSG00000035172","Plekhh3"
"12777","ENSMUSG00000044052","Ccr10"
"28084","ENSMUSG00000078656","Vps25"
"67803","ENSMUSG00000040699","Limd2"
"69066","ENSMUSG00000078607","1810010H24Rik"
"328035","ENSMUSG00000044788","Fads6"
"217333","ENSMUSG00000020773","Trim47"
"69681","ENSMUSG00000092300","Cdk3"
"53413","ENSMUSG00000020792","Exoc7"
"100038570","ENSMUSG00000075410","Prcd"
"21858","ENSMUSG00000017466","Timp2"
"209027","ENSMUSG00000025140","Pycr1"
"68515","ENSMUSG00000025141","Myadml2"
"170758","ENSMUSG00000018012","Rac3"
"16570","ENSMUSG00000020668","Kif3c"
"52504","ENSMUSG00000020652","Cenpo"
"17977","ENSMUSG00000020647","Ncoa1"
"380753","ENSMUSG00000020564","Atxn7l1"
"67217","ENSMUSG00000019718","L3hypdh"
"20476","ENSMUSG00000021099","Six6"
"217738","ENSMUSG00000050671","Ism2"
"382639","ENSMUSG00000037638","Zbtb42"
"68337","ENSMUSG00000006356","Crip2"
"56349","ENSMUSG00000021215","Net1"
"319166","ENSMUSG00000069272","H2ac8"
"73710","ENSMUSG00000045136","Tubb2b"
"101056149","ENSMUSG00000086786","Gm15908"
"22017","ENSMUSG00000021376","Tpmt"
"320614","ENSMUSG00000097622","A330033J07Rik"
"373852","ENSMUSG00000074782","4833422C13Rik"
"218865","ENSMUSG00000015970","Chdh"
"20508","ENSMUSG00000100241","Slc18a3"
"320736","ENSMUSG00000050666","Vstm4"
"319508","ENSMUSG00000041479","Syt15"
"546611","ENSMUSG00000090799","Klhl33"
"258424","ENSMUSG00000094140","Olfr1512"
"17387","ENSMUSG00000000957","Mmp14"
"16475","ENSMUSG00000022178","Ajuba"
"74359","ENSMUSG00000022179","4931414P19Rik"
"57260","ENSMUSG00000040432","Ltb4r2"
"75339","ENSMUSG00000079184","Mphosph8"
"387233","ENSMUSG00000065597","Mir124a-1"
"268759","ENSMUSG00000044551","9930012K11Rik"
"213019","ENSMUSG00000022090","Pdlim2"
"213469","ENSMUSG00000033595","Lgi3"
"15460","ENSMUSG00000022096","Hr"
"381002","ENSMUSG00000115240","Gm5144"
"69659","ENSMUSG00000060530","2310069G16Rik"
"223626","ENSMUSG00000056665","Them6"
"18810","ENSMUSG00000022565","Plec"
"671535","ENSMUSG00000063268","Parp10"
"20401","ENSMUSG00000022436","Sh3bp1"
"27367","ENSMUSG00000060036","Rpl3"
"338368","ENSMUSG00000049687","Pheta2"
"102466642","ENSMUSG00000098882","Mir6392"
"102638208","ENSMUSG00000086424","Gm15569"
"70113","ENSMUSG00000047394","Odf3b"
"11883","ENSMUSG00000022620","Arsa"
"223828","ENSMUSG00000036167","Pphln1"
"22142","ENSMUSG00000072235","Tuba1a"
"80910","ENSMUSG00000063234","Gpr84"
"19090","ENSMUSG00000022672","Prkdc"
"791069","ENSMUSG00000076288","Mir301b"
"224019","ENSMUSG00000055692","Tmem191c"
"13972","ENSMUSG00000000884","Gnb1l"
"21832","ENSMUSG00000022847","Thpo"
"332175","ENSMUSG00000036304","Zdhhc23"
"56370","ENSMUSG00000022658","Tagln3"
"110749","ENSMUSG00000022945","Chaf1b"
"245305","ENSMUSG00000080717","B230307C23Rik"
"73016","ENSMUSG00000040680","Kremen2"
"224617","ENSMUSG00000036473","Tbc1d24"
"268932","ENSMUSG00000033597","Caskin1"
"18763","ENSMUSG00000032855","Pkd1"
"22084","ENSMUSG00000002496","Tsc2"
"213753","ENSMUSG00000041130","Zfp598"
"16898","ENSMUSG00000044533","Rps2"
"100034748","ENSMUSG00000025727","A930017K11Rik"
"14998","ENSMUSG00000037649","H2-DMa"
"16913","ENSMUSG00000024338","Psmb8"
"15511","ENSMUSG00000090877","Hspa1b"
"193740","ENSMUSG00000091971","Hspa1a"
"51793","ENSMUSG00000007039","Ddah2"
"102465588","ENSMUSG00000098291","Mir6973a"
"69542","ENSMUSG00000039269","2300002M23Rik"
"76448","ENSMUSG00000034595","Ppp1r18"
"15024","ENSMUSG00000079491","H2-T10"
"69097","ENSMUSG00000050747","Trim15"
"54393","ENSMUSG00000024462","Gabbr1"
"224813","ENSMUSG00000071073","Lrrc73"
"14711","ENSMUSG00000002769","Gnmt"
"224833","ENSMUSG00000034382","AI661453"
"21425","ENSMUSG00000023990","Tfeb"
"76905","ENSMUSG00000037095","Lrg1"
"100316686","ENSMUSG00000084565","Mir1901"
"16210","ENSMUSG00000024423","Impact"
"225362","ENSMUSG00000038555","Reep2"
"381148","ENSMUSG00000073600","Prob1"
"192163","ENSMUSG00000102312","Pcdha3"
"100384868","ENSMUSG00000103458","Gm37013"
"353235","ENSMUSG00000103800","Pcdha8"
"93880","ENSMUSG00000051242","Pcdhb9"
"93888","ENSMUSG00000046387","Pcdhb17"
"93891","ENSMUSG00000046191","Pcdhb20"
"93710","ENSMUSG00000103332","Pcdhga2"
"93711","ENSMUSG00000104346","Pcdhga3"
"93699","ENSMUSG00000103037","Pcdhgb1"
"93701","ENSMUSG00000103585","Pcdhgb4"
"93702","ENSMUSG00000103749","Pcdhgb5"
"93706","ENSMUSG00000102918","Pcdhgc3"
"12683","ENSMUSG00000024526","Cidea"
"19201","ENSMUSG00000025429","Pstpip2"
"18739","ENSMUSG00000024851","Pitpnm1"
"18739","ENSMUSG00000097096","Pitpnm1"
"319314","ENSMUSG00000087132","A930001C03Rik"
"545276","ENSMUSG00000047658","Gal3st3"
"56390","ENSMUSG00000079478","Znrd2"
"12333","ENSMUSG00000024942","Capn1"
"329015","ENSMUSG00000024773","Atg2a"
"329015","ENSMUSG00000106907","Atg2a"
"56613","ENSMUSG00000024952","Rps6ka4"
"78317","ENSMUSG00000047810","Ccdc88b"
"67077","ENSMUSG00000050623","Catsperz"
"107260","ENSMUSG00000024767","Otub1"
"104383","ENSMUSG00000024968","Rcor2"
"102466781","ENSMUSG00000098293","Mir6991"
"269063","ENSMUSG00000054523","Ms4a5"
"67979","ENSMUSG00000013662","Atad1"
"69104","ENSMUSG00000023307","March5"
"69104","ENSMUSG00000111123","March5"
"277010","ENSMUSG00000044345","Marveld1"
"93679","ENSMUSG00000025034","Trim8"
"94279","ENSMUSG00000025036","Sfxn2"
"77682","ENSMUSG00000079602","9230102O04Rik"
"227618","ENSMUSG00000026961","Lrrc26"
"18146","ENSMUSG00000015094","Npdc1"
"381353","ENSMUSG00000029419","Ajm1"
"76220","ENSMUSG00000079499","6530402F18Rik"
"50935","ENSMUSG00000026811","St6galnac6"
"20910","ENSMUSG00000026797","Stxbp1"
"11909","ENSMUSG00000027104","Atf2"
"15436","ENSMUSG00000101174","Hoxd4"
"102634401","ENSMUSG00000085015","Gm14424"
"228366","ENSMUSG00000040434","Large2"
"12509","ENSMUSG00000032679","Cd59a"
"68243","ENSMUSG00000032671","A930018P22Rik"
"383787","ENSMUSG00000078137","Ankrd63"
"100043272","ENSMUSG00000074918","Inafm2"
"241638","ENSMUSG00000037703","Lzts3"
"215653","ENSMUSG00000027339","Rassf2"
"99041","ENSMUSG00000087521","AI646519"
"21824","ENSMUSG00000074743","Thbd"
"320706","ENSMUSG00000055485","Soga1"
"319317","ENSMUSG00000044349","Snhg11"
"228858","ENSMUSG00000017943","Gdap1l1"
"74614","ENSMUSG00000027670","Ocstamp"
"12608","ENSMUSG00000056501","Cebpb"
"102465173","ENSMUSG00000098588","Mir6340"
"228966","ENSMUSG00000049999","Ppp1r3d"
"73251","ENSMUSG00000037111","Setd7"
"19288","ENSMUSG00000027832","Ptx3"
"109222","ENSMUSG00000049404","Rarres1"
"79235","ENSMUSG00000028003","Lrat"
"68957","ENSMUSG00000041423","Paqr6"
"16905","ENSMUSG00000028063","Lmna"
"271944","ENSMUSG00000091648","C2cd4d"
"20360","ENSMUSG00000038777","Sema6c"
"71887","ENSMUSG00000002228","Ppm1j"
"99512","ENSMUSG00000040389","Wdr47"
"56224","ENSMUSG00000028152","Tspan5"
"72317","ENSMUSG00000086438","Asb17os"
"12448","ENSMUSG00000028212","Ccne2"
"67317","ENSMUSG00000028451","1700022I11Rik"
"105247126","ENSMUSG00000085990","Gm16731"
"545647","ENSMUSG00000096582","Gm13289"
"66526","ENSMUSG00000028619","Tceanc2"
"353371","ENSMUSG00000076438","Oxct2b"
"56198","ENSMUSG00000032744","Heyl"
"57317","ENSMUSG00000028911","Srsf4"
"53608","ENSMUSG00000028862","Map3k6"
"55948","ENSMUSG00000047281","Sfn"
"69902","ENSMUSG00000028741","Mrto4"
"29818","ENSMUSG00000006221","Hspb7"
"74202","ENSMUSG00000006219","Fblim1"
"723848","ENSMUSG00000065493","Mir34a"
"320587","ENSMUSG00000073680","Tmem88b"
"74761","ENSMUSG00000029070","Mxra8"
"231004","ENSMUSG00000096351","Samd11"
"100038949","ENSMUSG00000091049","Gm1979"
"100124451","ENSMUSG00000077042","Mir574"
"76003","ENSMUSG00000086259","Tmem150cos"
"102465709","ENSMUSG00000105778","Mir7229"
"11669","ENSMUSG00000029455","Aldh2"
"231717","ENSMUSG00000044134","Pheta1"
"21871","ENSMUSG00000038023","Atp6v0a2"
"109267","ENSMUSG00000029699","Ssc4d"
"54153","ENSMUSG00000004952","Rasa4"
"13856","ENSMUSG00000029711","Epo"
"16369","ENSMUSG00000047182","Irs3"
"13396","ENSMUSG00000029754","Dlx6"
"243764","ENSMUSG00000045613","Chrm2"
"68910","ENSMUSG00000068551","Zfp467"
"65963","ENSMUSG00000029810","Tmem176b"
"72628","ENSMUSG00000085696","Hoxaas3"
"15402","ENSMUSG00000038253","Hoxa5"
"330350","ENSMUSG00000108356","9130221F21Rik"
"13448","ENSMUSG00000068335","Dok1"
"110595","ENSMUSG00000030317","Timp4"
"28006","ENSMUSG00000024104","Washc2"
"381810","ENSMUSG00000067714","Lpar5"
"109978","ENSMUSG00000030217","Art4"
"272322","ENSMUSG00000040187","Arntl2"
"56306","ENSMUSG00000039985","Sinhcaf"
"70230","ENSMUSG00000107585","3300002P13Rik"
"70230","ENSMUSG00000108281","3300002P13Rik"
"12727","ENSMUSG00000000605","Clcn4"
"22192","ENSMUSG00000005575","Ube2m"
"243853","ENSMUSG00000048920","Fkrp"
"629378","ENSMUSG00000078794","Dact3"
"232934","ENSMUSG00000048481","Mypop"
"63872","ENSMUSG00000011267","Zfp296"
"11813","ENSMUSG00000002992","Apoc2"
"72383","ENSMUSG00000063651","Cnfn"
"21803","ENSMUSG00000002603","Tgfb1"
"233020","ENSMUSG00000040424","Hipk4"
"545938","ENSMUSG00000020420","Zfp607a"
"243897","ENSMUSG00000031493","Ggn"
"56188","ENSMUSG00000036570","Fxyd1"
"58188","ENSMUSG00000039257","Vstm2b"
"52377","ENSMUSG00000019539","Rcn3"
"50722","ENSMUSG00000030792","Dkkl1"
"12493","ENSMUSG00000030798","Cd37"
"14343","ENSMUSG00000008461","Fut1"
"381983","ENSMUSG00000062044","Lmtk3"
"101612","ENSMUSG00000053801","Grwd1"
"16828","ENSMUSG00000063229","Ldha"
"20430","ENSMUSG00000030447","Cyfip1"
"64243","ENSMUSG00000096019","Gm26504"
"102465226","ENSMUSG00000098910","Mir6416"
"83962","ENSMUSG00000025103","Btbd1"
"434233","ENSMUSG00000004455","Ppp1ccb"
"101604","ENSMUSG00000078580","E430018J23Rik"
"102465788","ENSMUSG00000105165","Mir7686"
"111975","ENSMUSG00000086266","Igf2os"
"76406","ENSMUSG00000040340","Tex45"
"140482","ENSMUSG00000047264","Zfp358"
"382014","ENSMUSG00000034863","Ano8"
"619297","ENSMUSG00000108900","Ccdc194"
"16453","ENSMUSG00000031805","Jak3"
"70134","ENSMUSG00000074217","Misp3"
"100316677","ENSMUSG00000080665","Mir1199"
"387216","ENSMUSG00000065611","Mir23a"
"12404","ENSMUSG00000031654","Cbln1"
"20497","ENSMUSG00000031766","Slc12a3"
"234577","ENSMUSG00000034361","Cpne2"
"244654","ENSMUSG00000033763","Mtss2"
"102465653","ENSMUSG00000098483","Mir7078"
"234796","ENSMUSG00000031828","Klhl36"
"102466849","ENSMUSG00000098280","Mir7687"
"22152","ENSMUSG00000062380","Tubb3"
"234865","ENSMUSG00000039509","Nup133"
"14345","ENSMUSG00000049307","Fut4"
"75316","ENSMUSG00000031939","Taf1d"
"66962","ENSMUSG00000051238","Swsap1"
"235048","ENSMUSG00000062794","Zfp599"
"64011","ENSMUSG00000053310","Nrgn"
"69632","ENSMUSG00000059495","Arhgef12"
"192663","ENSMUSG00000032131","Abcg4"
"214162","ENSMUSG00000002028","Kmt2a"
"27425","ENSMUSG00000038717","Atp5l"
"23821","ENSMUSG00000032086","Bace1"
"71999","ENSMUSG00000032309","Fbxo22"
"13076","ENSMUSG00000032315","Cyp1a1"
"20361","ENSMUSG00000038264","Sema7a"
"214424","ENSMUSG00000032392","Parp16"
"74492","ENSMUSG00000054978","Kbtbd13"
"71973","ENSMUSG00000032387","Rbpms2"
"75697","ENSMUSG00000091956","C2cd4b"
"14629","ENSMUSG00000032350","Gclc"
"77853","ENSMUSG00000066415","Msl2"
"84585","ENSMUSG00000041528","Rnf123"
"102465959","ENSMUSG00000098973","Mir6236"
"56693","ENSMUSG00000032431","Crtap"
"236690","ENSMUSG00000051228","Nyx"
"20964","ENSMUSG00000037217","Syn1"
"56774","ENSMUSG00000031089","Slc6a14"
"385377","ENSMUSG00000050424","Pnma5"
"331474","ENSMUSG00000049191","Rtl5"
